year,topic
2024,-1
2024,5
2024,3
2024,2
2024,-1
2024,13
2024,3
2024,0
2024,33
2024,7
2024,-1
2024,18
2024,14
2024,14
2024,0
2024,3
2024,0
2024,5
2024,18
2024,30
2024,30
2024,1
2024,0
2024,-1
2024,2
2024,9
2024,10
2024,0
2024,-1
2024,3
2024,-1
2024,13
2024,8
2024,8
2024,11
2024,7
2024,-1
2024,1
2024,10
2024,13
2024,8
2024,10
2024,24
2024,24
2024,-1
2024,1
2024,-1
2024,-1
2024,0
2024,-1
2024,-1
2024,-1
2024,33
2024,21
2024,11
2024,17
2024,13
2024,16
2024,14
2024,-1
2024,-1
2024,22
2024,-1
2024,16
2024,-1
2024,-1
2024,-1
2024,17
2024,8
2024,1
2024,1
2024,0
2024,10
2024,29
2024,1
2024,-1
2024,3
2024,17
2024,-1
2024,5
2024,-1
2024,6
2024,-1
2024,12
2024,8
2024,9
2024,0
2024,-1
2024,-1
2024,-1
2024,7
2024,0
2024,1
2024,0
2024,28
2024,4
2024,7
2024,33
2024,13
2024,0
2024,10
2024,0
2024,-1
2024,24
2024,0
2024,18
2024,0
2024,10
2024,24
2024,0
2024,7
2024,19
2024,1
2024,2
2024,-1
2024,1
2024,-1
2024,11
2024,4
2024,-1
2024,-1
2024,20
2024,1
2024,-1
2024,19
2024,-1
2024,0
2024,-1
2024,8
2024,15
2024,-1
2024,4
2024,26
2024,10
2024,10
2024,-1
2024,12
2024,-1
2024,4
2024,-1
2024,0
2024,-1
2024,-1
2024,-1
2024,0
2024,-1
2024,0
2024,8
2024,1
2024,1
2024,-1
2024,14
2024,1
2024,3
2025,11
2025,-1
2025,-1
2025,1
2025,-1
2025,-1
2025,-1
2025,4
2025,14
2025,0
2025,1
2025,23
2025,0
2025,19
2025,-1
2025,3
2025,1
2025,0
2025,0
2025,1
2025,-1
2025,-1
2025,33
2025,-1
2025,19
2025,3
2025,0
2025,0
2025,2
2025,1
2025,-1
2025,2
2025,1
2025,0
2025,7
2025,0
2025,15
2025,15
2025,1
2025,10
2025,11
2025,-1
2025,-1
2025,-1
2025,3
2025,1
2025,-1
2025,-1
2025,-1
2025,30
2025,-1
2025,0
2025,7
2025,7
2025,23
2025,10
2025,1
2025,13
2025,-1
2025,-1
2025,-1
2025,0
2025,21
2025,10
2025,23
2025,10
2025,2
2025,-1
2025,23
2025,-1
2025,1
2025,-1
2025,-1
2025,-1
2025,10
2025,21
2025,-1
2025,30
2025,-1
2025,-1
2025,15
2025,-1
2025,-1
2025,0
